Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
262	NCT04382586	Covid-19 Infection and Pulmonary Distress Treatment With Zanubrutinib in Hospitalized Participants	Recruiting	No Results Available	COVID-19 Pulmonary Complications|COVID-19	Drug: Zanubrutinib|Drug: Supportive Care|Drug: Placebo	Phase 2	Interventional	"MedStar Heath Research Institute/ MedStar Washington Hospital Center, Washington, District of Columbia, United States|Loyola University Medical Center, Maywood, Illinois, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Brigham And Women's Hospital, Boston, Massachusetts, United States|Atlantic Health System Inc. / Morristown Medical Center, Morristown, New Jersey, United States|Rutgers University Hospital, Newark, New Jersey, United States|Overlook Medical Center, Summit, New Jersey, United States|Covenant Health System, Lubbock, Texas, United States|Medical College of Wisconsin, Milwaukee, Wisconsin, United States"	https://ClinicalTrials.gov/show/NCT04382586
263	NCT04313322	Treatment of COVID-19 Patients Using Wharton's Jelly-Mesenchymal Stem Cells	Recruiting	No Results Available	Use of Stem Cells for COVID-19 Treatment	Biological: WJ-MSCs	Phase 1	Interventional	"Stem Cells Arabia, Amman, Jordan"	https://ClinicalTrials.gov/show/NCT04313322
264	NCT04445935	Anticoagulation in Patients Suffering From COVID-19 Disease The ANTI-CO Trial	Recruiting	No Results Available	Anticoagulation in COVID-19 ARDS	Drug: Bivalirudin Injection|Drug: Standard treatment	Phase 4	Interventional	"Hamad Medical Corporation, Doha, Qatar"	https://ClinicalTrials.gov/show/NCT04445935
265	NCT04308317	Tetrandrine Tablets Used in the Treatment of COVID-19	Enrolling by invitation	No Results Available	"Corona Virus Disease 2019,COVID-19"	Drug: Tetrandrine	Phase 4	Interventional	"Tetrandrine Tablets, Jinhua, Zhejiang, China"	https://ClinicalTrials.gov/show/NCT04308317
266	NCT04399317	Flow Controlled Ventilation in ARDS Associated With COVID-19	Recruiting	No Results Available	ARDS Associated With COVID-19	Device: Flow controlled ventilation (Evone-ventilator)	Not Applicable	Interventional	"Hamad Medical Corporation, Doha, Qatar"	https://ClinicalTrials.gov/show/NCT04399317
267	NCT04421404	Effects of COVID-19 Convalescent Plasma (CCP) on Coronavirus-associated Complications in Hospitalized Patients	Recruiting	No Results Available	COVID-19|Sars-CoV2	Biological: COVID-19 Convalescent Plasma (CCP)|Biological: Placebo	Phase 2	Interventional	"San Francisco General Hospital, San Francisco, California, United States|UCSF Medical Center at Mount Zion, San Francisco, California, United States|University of California, San Francisco Medical Center (Parnassus Campus), San Francisco, California, United States"	https://ClinicalTrials.gov/show/NCT04421404
268	NCT04381962	A Multicentre Open-label Two-arm Randomised Superiority Clinical Trial of Azithromycin Versus Usual Care In Ambulatory COVID19 (ATOMIC2)	Recruiting	No Results Available	COVID-19	Drug: Azithromycin Capsule	Phase 3	Interventional	"Horton General Hospital, Banbury, Oxfordshire, United Kingdom|John Radcliffe Hospital, Oxford, Oxfordshire, United Kingdom|Ninewells Hospital, Dundee, Scotland, United Kingdom|Birmingham City Hospital, Birmingham, United Kingdom|Sandwell General Hospital, West Bromwich, United Kingdom"	https://ClinicalTrials.gov/show/NCT04381962
269	NCT04371965	"Povidone Iodine Mouthwash, Gargle, and Nasal Spray to Reduce Naso- Pharyngeal Viral Load in Patients With COVID-19"	Not yet recruiting	No Results Available	COVID-19	Drug: Povidone-Iodine	Phase 2	Interventional	"University Hospital of Poitiers, Poitiers, France"	https://ClinicalTrials.gov/show/NCT04371965
270	NCT04346615	Safety and Efficacy Trial of Zavegepant* Intranasal for Hospitalized Patients With COVID-19 Requiring Supplemental Oxygen	Recruiting	No Results Available	COVID-19 Infection	Drug: Vazegepant (BHV-3500)|Drug: Placebo	Phase 2|Phase 3	Interventional	"Georgetown University Medical Center, Washington, District of Columbia, United States|Thomas Jefferson University Hospital, Philadelphia, Pennsylvania, United States"	https://ClinicalTrials.gov/show/NCT04346615
271	NCT04427098	Enoxaparin in COVID-19 Moderate to Severe Hospitalized Patients	Recruiting	No Results Available	COVID-19	Drug: Enoxaparin 40 Mg/0.4 mL Injectable Solution|Drug: Enoxaparin	Phase 2	Interventional	"Policlinico S. Orsola Malpighi Dipartimento Malattie Infettive, Bologna, Emilia Romagna, Italy|Azienda Ospedaliero-Universitaria di Parma Anestesia e Rianimazione Dipartimento di Medicina e Chirurgia, Parma, Emilia Romagna, Italy|I.R.C.C.S. ""Casa Sollievo della Sofferenza"", San Giovanni Rotondo (FG) UOVD Emostasi e trombosi- Poliambulatorio Giovanni Paolo II Viale Padre Pio n.7 San Giovanni Rotondo (FG), San Giovanni Rotondo, Foggia, Italy|Fondazione Poliambulanza Chirurgia Vascolare, Brescia, Italy|Piazzale Spedali Civili, 1, 25123 Brescia BS Medicina Interna UniBS 2° Medicina ASST Spedali Civili, Brescia, Italy|Azienda Ospedaliero-Universitaria ""Policlinico - V. Emanuele"", Catania Anestesia e Rianimazione UO Malattie Infettive, Catania, Italy|ASST Cremona Unità Operativa di Chirurgia Vascolare Dipartimento di Medicina di Laboratorio e di Radiologia- Centro Emostasi e Trombosi, Cremona, Italy|Ospedale Morgagni Pierantoni U.O.C. Malattie Infettive, Forlì, Italy|Ospedale Carlo Poma di Mantova MALATTIE INFETTIVE Padiglione 37 Str. Lago Paiolo, 10, 46100 Mantova, Mantova, Italy|AZIENDA OSPEDALIERA Regionale S CARLO POTENZA Struttura Complessa Interaziendale ""Malattie Infettive"", Matera, Italy|Ospedale San Raffaele Unità Funzionale dell'Unità Operativa di Malattie Infettive Osp. San Raffaele, Milano, Italy|Ospedale Amedeo di Savoia Torino Università di Torino Malattie Infettive, Torino, Italy|Azienda Ospedaliera Universitaria Integrata Verona UOC Malattie Infettive e Tropicali, Verona, Italy"	https://ClinicalTrials.gov/show/NCT04427098
272	NCT04389411	The COvid-19 Symptom MOntelukast Trial	Not yet recruiting	No Results Available	COVID-19	Drug: Montelukast 10mg	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04389411
273	NCT04379479	Clinical Effect of Dialyzable Leukocyte Extract in Suspected or Confirmed Cases of COVID-19 (FUTURE-T)	Not yet recruiting	No Results Available	COVID-19|SARS-CoV-2 Infection	Drug: Dialyzable Leukocyte Extract|Drug: Placebo oral	Phase 2	Interventional	"Escuela Nacional de Ciencias Biológicas, Instituto Politécnico Nacional, Mexico City, Mexico"	https://ClinicalTrials.gov/show/NCT04379479
274	NCT04371822	Efficacy of Sunlight Activated Synthetic Porphyrin in COVID-19 Infected Patients	Not yet recruiting	No Results Available	COVID-19	Drug: SnPP Protoporphyrin plus Sunlight exposure|Drug: Sulfonatoporphyrin(TPPS) plus Sunlight exposure.|Other: placebo	Phase 1	Interventional	"Kafr El-sheikh University, Cairo, Kafr El-sheikh, Egypt"	https://ClinicalTrials.gov/show/NCT04371822
275	NCT04408209	Convalescent Plasma for the Treatment of Patients With Severe COVID-19 Infection	Recruiting	No Results Available	COVID-19 Infection	Procedure: Convalescent Plasma	Not Applicable	Interventional	"Evangelismos General Hospital, Athens, Attiki, Greece|""Agios Savas"" Oncology Hospital, Athens, Attiki, Greece|""Alexandra"" General Hospital, Athens, Attiki, Greece|""Sotiria"" General Hospital, Athens, Attiki, Greece|Attikon"" University General Hospital, Athens, Chaidari, Greece|University General Hospital of Patras, Patra, Rio, Greece"	https://ClinicalTrials.gov/show/NCT04408209
276	NCT04381858	Convalescent Plasma vs Human Immunoglobulin to Treat COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Plasma from COVID-19 convalescent patient|Drug: Human immunoglobulin	Phase 3	Interventional	"Centenario Hospital Miguel Hidalgo, Aguascalientes, Mexico"	https://ClinicalTrials.gov/show/NCT04381858
277	NCT04417335	Reducing COVID-19 Related Hospital Admission in Elderly by BCG Vaccination	"Active, not recruiting"	No Results Available	COVID-19	Biological: BCG vaccine|Biological: Placebo	Phase 4	Interventional	"Radboud University, Nijmegen, Gelderland, Netherlands|UMC Utrecht, Utrecht, Netherlands"	https://ClinicalTrials.gov/show/NCT04417335
278	NCT04346355	Efficacy of Early Administration of Tocilizumab in COVID-19 Patients	Terminated	No Results Available	COVID-19 Pneumonia	Drug: Tocilizumab	Phase 2	Interventional	"Ospedale di Guastalla, Guastalla, RE, Italy|Azienda Unità Sanitaria Locale-IRCCS di Reggio Emilia, Reggio Emilia, RE, Italy|Azienda Ospedaliera SS. Antonio e Biagio e Cesare Arrigo, Alessandria, Italy|Policlinico Sant'Orsola Malpighi, Bologna, Italy|ASST Cremona, Cremona, Italy|Azienda Ospedaliera S. Croce e Carle, Cuneo, Italy|Azienda Ospedaliero Universitaria Ferrara, Ferrara, Italy|Azienda Ospedaliero Universitaria Careggi, Firenze, Italy|Ospedale Evangelico Internazionale di Genova, Genova, Italy|Azienda Sociosanitaria ASL 1 ,Imperia, Imperia, Italy|Azienda Sociosanitaria ASL 5 La Spezia, La Spezia, Italy|ASST Mantova - Ospedale Carlo Poma, Mantova, Italy|IRCCS Istituto Auxologico Italiano Milano, Milano, Italy|Azienda Ospedaliero-Universitaria ""Maggiore della Carità"" di Novara, Novara, Italy|Ospedali Riuniti Padova Sud - ULSS 6 Euganea, Padova, Italy|Azienda Ospedaliero-Universitaria Parma, Parma, Italy|Azienda Unità Sanitaria Locale di Piacenza, Piacenza, Italy|Azienda Ospedaliera Universitaria Pisana, Pisa, Italy|AO Ordine Mauriziano di Torino, Torino, Italy|ASST Bergamo Ovest -Treviglio, Treviglio, Italy|AULSS 2 Marca Trevigiana, Treviso, Italy|AULSS2 Marca Trevigiana - Ospedale Vittorio Veneto, Treviso, Italy|AULSS 3 Serenissima Ospedale ""Dell'Angelo"", Venezia, Italy|Azienda Ospedaliera Universitaria Integrata di Verona, Verona, Italy|IRCCS Sacro Cuore Don Calabria, Verona, Italy"	https://ClinicalTrials.gov/show/NCT04346355
279	NCT04448119	Control of COVID-19 Outbreaks in Long Term Care	Not yet recruiting	No Results Available	COVID-19|SARS-CoV-2	Drug: Favipiravir|Drug: Favipiravir Placebo	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04448119
280	NCT04305106	Bevacizumab in Severe or Critically Severe Patients With COVID-19 Pneumonia-RCT	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Bevacizumab	Not Applicable	Interventional	"Qilu Hospital of Shandong University, Jinan, Shandong, China"	https://ClinicalTrials.gov/show/NCT04305106
281	NCT04315987	NestaCell® Mesenchymal Stem Cell to Treat Patients With Severe COVID-19 Pneumonia	Not yet recruiting	No Results Available	COVID-19 Pneumonia	Biological: NestaCell®|Biological: Placebo	Phase 2	Interventional	"Hospital Vera Cruz, Campinas, São Paulo, Brazil|Hospital de Barueri, São Paulo, Brazil|IncCOR, São Paulo, Brazil|UNIFESP, São Paulo, Brazil"	https://ClinicalTrials.gov/show/NCT04315987
282	NCT04374279	Trial to Promote Recovery From COVID-19 With Ivermectin or Endocrine Therapy	Not yet recruiting	No Results Available	COVID-19|SARS-CoV 2	Drug: Bicalutamide 150 Mg Oral Tablet|Drug: Ivermectin 3Mg Tab	Phase 2	Interventional	"Johns Hopkins Hospital, Baltimore, Maryland, United States"	https://ClinicalTrials.gov/show/NCT04374279
283	NCT04244591	Glucocorticoid Therapy for COVID-19 Critically Ill Patients With Severe Acute Respiratory Failure	Completed	No Results Available	COVID-19 Infections	Drug: methylprednisolone therapy|Other: Standard care	Phase 2|Phase 3	Interventional	"Medical ICU,Peking Union Medical College Hospital, Beijing, Beijing, China"	https://ClinicalTrials.gov/show/NCT04244591
284	NCT04320615	A Study to Evaluate the Safety and Efficacy of Tocilizumab in Patients With Severe COVID-19 Pneumonia	"Active, not recruiting"	No Results Available	COVID-19 Pneumonia	Drug: Tocilizumab (TCZ)|Drug: Placebo	Phase 3	Interventional	"University of California San Diego, La Jolla, California, United States|eStudySite, La Mesa, California, United States|David Geffen School of Medicine UCLA, Los Angeles, California, United States|Stanford University, Stanford, California, United States|Denver Health Medical Center, Denver, Colorado, United States|University of Miami Miller School of Medicine, Miami, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|University of Chicago, Chicago, Illinois, United States|Ochsner Clinic Foundation, Baton Rouge, Louisiana, United States|Baystate Health System, Springfield, Massachusetts, United States|Mayo Clinic - PPDS, Rochester, Minnesota, United States|Hackensack University Medical Center, Hackensack, New Jersey, United States|Robert Wood Johnson University Hospital/Rutgers, New Brunswick, New Jersey, United States|James J Peters Veterans Administration Medical Center - NAVREF, Bronx, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Cleveland Clinic Foundation; Pulmonary, Allergy & Critical Care Medicine, Cleveland, Ohio, United States|Thomas Jefferson University, Philadelphia, Pennsylvania, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Ben Taub General Hospital - HCHD, Houston, Texas, United States|Intermountain Medical Group, Saint George, Utah, United States|Intermountain LDS Hospital, Salt Lake City, Utah, United States|Evergreen Health Infectious Disease, Kirkland, Washington, United States|Swedish Hospital Medical Center, Seattle, Washington, United States|Hamilton General Hospital; Pharmacy, Hamilton, Ontario, Canada|St. Joseph's Healthcare Hamilton, Hamilton, Ontario, Canada|University Health Network, Toronto, Ontario, Canada|Clinical Research Institute of Montreal, Montreal, Quebec, Canada|Rigshospitalet Copenhagen University Hospital, Copenhagen, Denmark|Hvidovre Hospital, Hvidovre, Denmark|Odense Universitetshospital, Odense C, Denmark|Sjællands Universitetshospital, Roskilde, Roskilde, Denmark|Centre Hospitalier Departemental de Vendee, La Roche Sur Yon, France|Centre Hospitalier et Universitaire de Limoges, Limoges, France|Hôpital de La Croix Rousse, Lyon, France|Hotel Dieu - Nantes, Nantes, France|Hopital de la Pitie Salpetriere, Paris, France|HOPITAL COCHIN university hospital, Paris, France|CHRU de Tours, Pharmacie, Tours, France|Universitatsklinikum Dusseldorf, Dusseldorf, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Uniklinik Köln, Köln, Germany|LMU Klinikum der Universitat Munchen, Munchen, Germany|Azienda Ospedaliera Dei Colli, Napoli, Campania, Italy|Istituto Nazionale Malattie Infettive Lazzaro Spallanzani IRCCS, Roma, Lazio, Italy|ASST Papa Giovanni XXIII; Dipartimento Interaziendale di Farmacia Clinica, Bergamo, Lombardia, Italy|ASST Fatebenefratelli Sacco - Ospedale Luigi Sacco, Milano, Lombardia, Italy|Azienda Ospedaliera San Gerardo di Monza, Monza MI, Lombardia, Italy|Fondazione IRCCS Policlinico San Matteo di Pavia; S.S. Fisiopatologia Respiratoria, Pavia, Lombardia, Italy|Amphia Ziekenhuis, Breda, Netherlands|St. Antonius Ziekenhuis Nieuwegein, Nieuwegein, Netherlands|Erasmus MC, Rotterdam, Netherlands|Universitair Medisch Centrum Utrecht, Utrecht, Netherlands|Hospital Universitario de Bellvitge, Hospitalet de Llobregat, Barcelona, Spain|Hospital Universitari Vall d'Hebron, Barcelona, Spain|Hospital Clinic de Barcelona, Barcelona, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario Ramon y Cajal, Madrid, Spain|Hospital General Universitario Gregorio Maranon, Madrid, Spain|Hospital Universitario HM Sanchinarro-CIOCC, Madrid, Spain|Greater Glasgow and Clyde Health Board, Glasgow, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|University College Hospital, London, United Kingdom|Royal Free Hospital, London, United Kingdom|St George's Clinical Research Facility, London, United Kingdom|Imperial College London, London, United Kingdom|North Manchester General Hospital, Manchester, United Kingdom|Salford Royal Hospital, Salford, United Kingdom"	https://ClinicalTrials.gov/show/NCT04320615
285	NCT04363866	A Pilot Study to Assess Hydroxychloroquine in Patients With SARS-CoV-2 (COVID-19)	Not yet recruiting	No Results Available	COVID-19|SARS-CoV-2	Drug: Hydroxychloroquine|Drug: Placebo	Phase 4	Interventional	"Oregon Health and Science University, Portland, Oregon, United States"	https://ClinicalTrials.gov/show/NCT04363866
286	NCT04407130	Efficacy and Safety of Ivermectin and Doxycycline in Combination or IVE Alone in Patients With COVID-19 Infection.	Enrolling by invitation	No Results Available	COVID-19 Patients	Drug: Ivermectin + Doxycycline + Placebo|Drug: Ivermectin + Placebo|Drug: Placebo	Phase 2	Interventional	"Icddr,B, Dhaka, Bangladesh"	https://ClinicalTrials.gov/show/NCT04407130
287	NCT04372186	A Study to Evaluate the Efficacy and Safety of Tocilizumab in Hospitalized Participants With COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: Placebo|Drug: Tocilizumab	Phase 3	Interventional	"Banner - University Medical Center Phoenix; In-Patient Pharmacy, Phoenix, Arizona, United States|Univ of AZ Coll of Med, Tucson, Arizona, United States|Scripps Mercy Hospital, Chula Vista, California, United States|El Centro Regional Medical Center, El Centro, California, United States|Harper University Hospital, Fountain Valley, California, United States|eStudySite, La Mesa, California, United States|Riverside University Health System-Medical Center, Moreno Valley, California, United States|Highland Hospital Oakland, Oakland, California, United States|St. Joseph'S Hospital, Orange, California, United States|Desert Regional Medical Center, Palm Springs, California, United States|San Leandro Hospital; Inpatient Pharmacy, San Leandro, California, United States|Poudre Valley Hospital, Fort Collins, Colorado, United States|UCHealth Greeley Hospital, Greeley, Colorado, United States|Medical Center of The Rockies, Loveland, Colorado, United States|Yale University School Of Medicine, New Haven, Connecticut, United States|Howard University, Washington, District of Columbia, United States|Suncoast Research Associates LLC - ERN - PPDS, Doral, Florida, United States|Miami Veterans Administration Healthcare System - NAVREF, Miami, Florida, United States|University of Miami Pulmonary, Miami, Florida, United States|Westchester General Hospital, Miami, Florida, United States|Larkin Community Hospital, South Miami, Florida, United States|Emory University, Atlanta, Georgia, United States|Columbus Regional Research Institute, Columbus, Georgia, United States|St. Lukes Boise Medical Center, Boise, Idaho, United States|Uni of Kansas Medical Center, Kansas City, Kansas, United States|Ochsner Clinic, New Orleans, Louisiana, United States|LSU-Shreveport, Shreveport, Louisiana, United States|Holy Cross Germantown Hospital, Germantown, Maryland, United States|Holy Cross Hospital, Silver Spring, Maryland, United States|Detroit Receiving Hospital, Detroit, Michigan, United States|Henry Ford Health System, Detroit, Michigan, United States|Sinai Grace Hospital, Detroit, Michigan, United States|Optum Health Care, Las Vegas, Nevada, United States|St. Joseph'S Regional Medical Center, Paterson, New Jersey, United States|San Juan Oncology Associates, Farmington, New Mexico, United States|St. Barnabas Hospital, Bronx, New York, United States|Kings County Hospital Center, Brooklyn, New York, United States|SUNY Downstate Medical Center., Brooklyn, New York, United States|Elmhurst Hospital Center, Elmhurst, New York, United States|Flushing Hospital, Flushing, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|NYC Health and Hospitals Queens, Jamaica, New York, United States|Harlem Hospital, New York, New York, United States|Canton-Potsdam Hospital, Potsdam, New York, United States|Novant Health Presbyterian Medical Center (Presbyterian Hospital), Charlotte, North Carolina, United States|Cape Fear Valley Medical Center, Fayetteville, North Carolina, United States|Novant Health Rowan Medical Center, Salisbury, North Carolina, United States|Novant Health Foryth Medical Center, Winston-Salem, North Carolina, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Sanford Health System, Sioux Falls, South Dakota, United States|JPS Health Network, Fort Worth, Texas, United States|Valley Baptist Medical Center, Harlingen, Texas, United States|Michael E Debakey VA Medical Center, Houston, Texas, United States|McAllen Medical Center, McAllen, Texas, United States|Crossroads Clinical Research, LLC, Victoria, Texas, United States|Froedtert and The Medical College of Wisconsin, Milwaukee, Wisconsin, United States|Aga Khan University Hospital, Nairobi, Kenya|Organismo Publico Descentralizado Hospital Juarez de Mexico, Ciudad De México, Mexico|Hospital General de Culiacan, Culiacan, Mexico|Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran, Mexico, Mexico|Hospital Militar Central, Jesus Maria, Peru|Hospital Nacional Dos de Mayo, Lima, Peru|University of the Free State, Bloemfontein, South Africa|George Provincial Hospital, George, South Africa|Mzansi Ethical Research Centre, Middelburg, South Africa|Milpark Hospital, Parktown West, South Africa|University of Stellenbosch; Respiratory Research, Parow, South Africa|Phoenix Pharma, Port Elizabeth, South Africa"	https://ClinicalTrials.gov/show/NCT04372186
288	NCT04382625	Hydroxychloroquine in SARS-CoV-2 (COVID-19) Pneumonia Trial	Not yet recruiting	No Results Available	SARS-CoV-2 Pneumonia|COVID-19	Drug: Hydroxychloroquine	Phase 4	Interventional	"Kootenai Health, Coeur d'Alene, Idaho, United States"	https://ClinicalTrials.gov/show/NCT04382625
289	NCT04329650	Efficacy and Safety of Siltuximab vs. Corticosteroids in Hospitalized Patients With COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19	Drug: Siltuximab|Drug: Methylprednisolone	Phase 2	Interventional	"Hospital Germans Trias i Pujol, Badalona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Hospital Universitario de Salamanca, Salamanca, Spain|Hospital Universitari Mútua de Terrassa, Terrassa, Spain"	https://ClinicalTrials.gov/show/NCT04329650
290	NCT04331470	Evaluation of Efficacy of Levamisole and Formoterol+Budesonide in Treatment of COVID-19	Recruiting	No Results Available	COVID-19	Drug: Levamisole Pill + Budesonide+Formoterol inhaler|Drug: Lopinavir/Ritonavir + hydoxychloroquine	Phase 2|Phase 3	Interventional	"Vali-Asr Hospital, Fasa, Fars, Iran, Islamic Republic of"	https://ClinicalTrials.gov/show/NCT04331470
291	NCT04386616	A Study to Evaluate the Safety and Efficacy of MSTT1041A (Astegolimab) or UTTR1147A in Patients With Severe COVID-19 Pneumonia	Recruiting	No Results Available	COVID-19 Pneumonia	Drug: MSTT1041A|Drug: MSTT1041A-matched Placebo|Drug: UTTR1147A|Drug: UTTR1147A-matched Placebo	Phase 2	Interventional	"eStudySite - Chula Vista - PPDS, Chula Vista, California, United States|eStudySite, La Mesa, California, United States|Torrance Memorial Medcal Center, Torrance, California, United States|MedPharmics, Metairie, Louisiana, United States|Southeast Louisiana Veterans Health Care System - NAVREF, New Orleans, Louisiana, United States|Henry Ford Health System, Detroit, Michigan, United States|St. Joseph'S Regional Medical Center, Paterson, New Jersey, United States|Albany Medical Center, Albany, New York, United States|Lincoln Medical Mental Health Center, Bronx, New York, United States|Staten Island University Hospital; Department of Pharmacy, Staten Island, New York, United States|Cape Fear Valley Health System, Fayetteville, North Carolina, United States|Mercy St. Vincent Medical Center, Toledo, Ohio, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Temple Uni Medical Center; Pulmonary & Critical Care Medicine, Philadelphia, Pennsylvania, United States|Parkland Health & Hospital System, Dallas, Texas, United States|University of Texas Southwestern Medical Center, Dallas, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Virginia Mason Medical Center, Seattle, Washington, United States|MultiCare Institute for Research and Innovation; Clinic/Outpatient Facility, Tacoma, Washington, United States"	https://ClinicalTrials.gov/show/NCT04386616
292	NCT04363736	A Study to Investigate Intravenous Tocilizumab in Participants With Moderate to Severe COVID-19 Pneumonia	"Active, not recruiting"	No Results Available	COVID-19 Pneumonia	Drug: Tociliuzumab	Phase 2	Interventional	"Mayo Clinic - Arizona, Phoenix, Arizona, United States|St. Jude Medical Center, Fullerton, California, United States|LAC + USC Medical Center, Los Angeles, California, United States|USC Keck Medical Center of USC, Los Angeles, California, United States|Norwalk Hospital, Norwalk, Connecticut, United States|Medstar Georgetown University Hospital, Washington, District of Columbia, United States|University of Florida; Health Science Center, Jacksonville, Florida, United States|Mayo Clinic, Jacksonville, Florida, United States|Advocate Christ Medical Center, Oak Lawn, Illinois, United States|Advocate Lutheran General Hospital, Park Ridge, Illinois, United States|MedPharmics, Metairie, Louisiana, United States|University of Maryland, Baltimore, Maryland, United States|Renown Institute for Heart & Vascular Health, Reno, Nevada, United States|St Joseph's Regional Medical Center, Wayne, New Jersey, United States|SUNY Downstate Medical Center., Brooklyn, New York, United States|Jamaica Hospital Medical Center, Jamaica, New York, United States|Vassar Brothers Medical Center, Poughkeepsie, New York, United States|Wake Forest University Health Sciences, Winston-Salem, North Carolina, United States|University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|Mercy St. Vincent Medical Center, Toledo, Ohio, United States|Lehigh Valley Health Network, Allentown, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Allegheny Health Network (Pittsburg PA), Pittsburgh, Pennsylvania, United States|Medical University of South Carolina, Charleston, South Carolina, United States|Houston Methodist Hospital, Houston, Texas, United States|Michael E. DeBakey VA Medical Center, Houston, Texas, United States|Houston Methodist Sugar Land Hospital, Sugar Land, Texas, United States"	https://ClinicalTrials.gov/show/NCT04363736
293	NCT04417257	Study of LAU-7b for the Treatment of COVID-19 Disease in Adults	Recruiting	No Results Available	COVID-19 Disease	Drug: LAU-7b|Drug: Placebo oral capsule	Phase 2	Interventional	"St-Paul's Hospital, Vancouver, British Columbia, Canada|Centre d'études cliniques CIUSS SLJ, Hôpital Chicoutimi, Chicoutimi, Quebec, Canada|CIUSSSS de l'Est-de-l'Ile-de-Montréal, Hôpital Maisonneuve-Rosemont, Montréal, Quebec, Canada|Centre Hospitalier de l'Université de Montréal, Montréal, Quebec, Canada|McGill University Health Centre, Montréal, Quebec, Canada|CISSS Ds Laurentides, Saint-Jérôme, Quebec, Canada"	https://ClinicalTrials.gov/show/NCT04417257
294	NCT04455815	A Trial Looking at the Use of Camostat to Reduce Progression of Symptoms of Coronavirus (COVID-19) in People Who Have Tested Positive But Are Able to Stay at Home	Not yet recruiting	No Results Available	COVID-19 Infection	Drug: Camostat	Phase 2|Phase 3	Interventional	"The University of Edinburgh, Edinburgh, United Kingdom|Oxford University Hospitals NHS Foundation Trust, Oxford, United Kingdom"	https://ClinicalTrials.gov/show/NCT04455815
295	NCT04353596	Stopping ACE-inhibitors in COVID-19	Recruiting	No Results Available	SARS-CoV-2|COVID-19	"Drug: ACE inhibitor, angiotensin receptor blocker"	Phase 4	Interventional	"Medical University Innsbruck, University Hospital of Internal Medicine III, Innsbruck, Tyrol, Austria|Landeskrankenhaus Hall, Hall In Tirol, Austria|Medical University Innsbruck, Intensive Care and Emergency Medicine Department, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine II, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine IV, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine I, Innsbruck, Austria|Medical University Innsbruck, University Hospital of Internal Medicine V, Innsbruck, Austria|Klinikum Klagenfurt, Klagenfurt, Austria|Bezirkskrankenhaus Kufstein, Kufstein, Austria|Bezirkskrankenhaus St. Johann, Sankt Johann In Tirol, Austria|Bezirkskrankenhaus Schwaz, Schwaz, Austria|Krankenhaus St. Vinzenz Zams, Zams, Austria|LMU Klinikum, Medizinische Klinik I, Munich, Bavaria, Germany|Asklepios Stadtklinik Bad Tölz, Bad Tölz, Germany|Klinikum Landkreis Erding, Erding, Germany|Klinikum Memmingen, Memmingen, Germany|Deutsches Herzzentrum München, Munich, Germany|Klinikum rechts der Isar, Medizinische Klinik und Poliklinik I, Munich, Germany|LMU Klinikum, Medizinische Klinik III, Munich, Germany|LMU Klinikum, Medizinische Klinik II, Munich, Germany|LMU Klinikum, Medizinische Klinik IV, Munich, Germany|München Klinik Bogenhausen und Schwabing, Munich, Germany|Universitätsklinik der Paracelsus Medizinischen Privatuniversität, Nürnberg, Germany|Klinikum Starnberg, Starnberg, Germany|Klinik für Innere Medizin Weilheim, Weilheim, Germany"	https://ClinicalTrials.gov/show/NCT04353596
296	NCT04358809	"Clinical Trial of Mycobacterium w in COVID-19 Positive Patients, Hospitalized But Not Critically Ill"	Not yet recruiting	No Results Available	COVID-19	Drug: Suspension of heat killed (autoclaved) Mycobacterium w|Other: Placebo	Phase 3	Interventional		https://ClinicalTrials.gov/show/NCT04358809
