""	"Rank"	"NCT.Number"	"Title"	"Status"	"Study.Results"	"Conditions"	"Interventions"	"Phases"	"Study.Type"	"Locations"	"URL"
"743"	743	"NCT04339712"	"Personalised Immunotherapy for SARS-CoV-2 (COVID-19) Associated With Organ Dysfunction"	"Recruiting"	"No Results Available"	"COVID-19|Virus Diseases|Macrophage Activation Syndrome|Corona Virus Infection"	"drug: anakinra|drug: tocilizumab"	"Phase 2"	"Interventional"	"2nd Department of Critical Care Medicine, ATTIKON University Hospital, Athens, Haidari, Greece|Intensive Care Unit, Ioannina University Hospital, Ioánnina, Ioannina, Greece|Department of Internal Medicine, Patras University Hospital, Patras, Rion, Greece|Department of Internal Medicine, I PAMMAKARISTOS Hospital, Athens, Greece|Intensive Care Unit, General Hospital of Athens KORGIALENIO-BENAKIO E.E.S., Athens, Greece|1st Department of Pulmonary Medicine and Intensive Care Unit, Athens, Greece|Intensive Care Unit, General Hospital of Athens IPPOKRATEIO, Athens, Greece|4th Department of Internal Medicine, Attikon University Hospital, Athens, Greece|Intensive Care Unit, General Hospital ASKLEPIEIO Voulas, Athens, Greece|Intensive Care Unit, \"Latsio\", Thriasio Elefsis General Hospital, Elefsína, Greece|Intensive Care Unit, \"Koutlimbaneio & Triantafylleio\" Larissa General Hospital, Larissa, Greece|Department of Internal Medicine, Larissa University Hospital, Larissa, Greece|Intensive Care Unit, AGIOS DIMITRIOS General Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, G. GENNIMATAS General Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, Theageneio Oncological Hospital of Thessaloniki, Thessaloniki, Greece|Intensive Care Unit, General Hospital of Thessaloniki IPPOKRATEIO, Thessaloniki, Greece|Department of Anesthesiology and Intensive Care Medicine, University General Hospital of Thessaloniki AHEPA, Thessaloniki, Greece"	"https://ClinicalTrials.gov/show/NCT04339712"
"807"	807	"NCT04310228"	"Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019"	"Recruiting"	"No Results Available"	"COVID-19"	"drug: favipiravir combined with tocilizumab|drug: favipiravir|drug: tocilizumab"	"Not Applicable"	"Interventional"	"Guiqiang Wang, Beijing, Beijing, China|Peking University First Hospital, Beijing, Beijing, China|Ezhou Central Hospital, Wuhan, Hubei, China|Huoshenshan Hospital of Wuhan, Wuhan, Hubei, China|Jinyintan Hospital of Wuhan, Wuhan, Hubei, China|Wuhan Pulmonary Hospital, Wuhan, Hubei, China"	"https://ClinicalTrials.gov/show/NCT04310228"
"912"	912	"NCT04381936"	"Randomised Evaluation of COVID-19 Therapy"	"Recruiting"	"No Results Available"	"Severe Acute Respiratory Syndrome"	"drug: lopinavir-ritonavir|drug: corticosteroid|drug: hydroxychloroquine|drug: azithromycin|biological: convalescent plasma|drug: tocilizumab"	"Phase 2|Phase 3"	"Interventional"	"Nuffield Department of Population Health, University of Oxford, Oxford, United Kingdom"	"https://ClinicalTrials.gov/show/NCT04381936"
"934"	934	"NCT04370834"	"Tocilizumab for Patients With Cancer and COVID-19 Disease"	"Recruiting"	"No Results Available"	"Hematopoietic and Lymphoid Cell Neoplasm|Malignant Solid Neoplasm|Pneumonia|Pneumonitis|Severe Acute Respiratory Distress Syndrome|Symptomatic COVID-19 Infection Laboratory-Confirmed"	"biological: tocilizumab"	"Phase 2"	"Interventional"	"National Cancer Institute, Rockville, Maryland, United States|University Medical Center of Southern Nevada, Las Vegas, Nevada, United States|Summerlin Hospital Medical Center, Las Vegas, Nevada, United States|University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Valley Medical Center, Renton, Washington, United States"	"https://ClinicalTrials.gov/show/NCT04370834"
"973"	973	"NCT04380818"	"Low Dose Anti-inflammatory Radiotherapy for the Treatment of Pneumonia by COVID-19"	"Recruiting"	"No Results Available"	"Pneumonia, Viral"	"radiation: low-dose radiotherapy|drug: hydroxychloroquine sulfate|drug: ritonavir/lopinavir|drug: tocilizumab injection [actemra]|drug: azithromycin|drug: corticosteroid|drug: low molecular weight heparin|device: oxygen supply"	"Not Applicable"	"Interventional"	"Hospital Sant Joan de Reus, Reus, Tarragona, Spain|Hospital Del Mar, Barcelona, Spain|Hospital Universitario Madrid Sanchinarro, Madrid, Spain"	"https://ClinicalTrials.gov/show/NCT04380818"
"980"	980	"NCT02735707"	"Randomized, Embedded, Multifactorial Adaptive Platform Trial for Community- Acquired Pneumonia"	"Recruiting"	"No Results Available"	"Community-acquired Pneumonia, Influenza, COVID-19"	"drug: fixed-duration hydrocortisone|drug: shock-dependent hydrocortisone|drug: ceftriaxone|drug: moxifloxacin or levofloxacin|drug: piperacillin-tazobactam|drug: ceftaroline|drug: amoxicillin-clavulanate|drug: macrolide administered for 3-5 days|drug: macrolide administered for up to 14 days|drug: five-days oseltamivir|drug: ten-days oseltamivir|drug: lopinavir/ritonavir|drug: hydroxychloroquine|drug: hydroxychloroquine + lopinavir/ritonavir|drug: interferon-β1a|drug: anakinra|drug: fixed-duration higher dose hydrocortisone|drug: tocilizumab|drug: sarilumab"	"Phase 4"	"Interventional"	"St Vincent's Hospital Sydney, Sydney, New South Wales, Australia|Royal Prince Alfred Hospital, Sydney, New South Wales, Australia|Royal North Shore Hospital, Sydney, New South Wales, Australia|Nepean Hospital, Sydney, New South Wales, Australia|Wollongong Hospital, Sydney, New South Wales, Australia|Royal Darwin Hospital,, Darwin, Northern Territory, Australia|Sunshine Coast University Hospital, Birtinya, Queensland, Australia|Princess Alexandra Hospital, Brisbane, Queensland, Australia|Logan Hospital, Brisbane, Queensland, Australia|Toowoomba Hospital, Toowoomba, Queensland, Australia|The Queen Elizabeth Hospital, Adelaide, South Australia, Australia|Bendigo Hospital, Bendigo, Victoria, Australia|University Hosptial Geelong, Geelong, Victoria, Australia|The Alfred Hospital, Melbourne, Victoria, Australia|Royal Melbourne Hospital, Melbourne, Victoria, Australia|St Vincent's Hospital Melbourne, Melbourne, Victoria, Australia|Royal Perth Hospital, Perth, Western Australia, Australia|Sir Charles Gairdner Hospital, Perth, Western Australia, Australia|St John of God Hospital Midland, Perth, Western Australia, Australia|Fiona Stanley Hospital, Perth, Western Australia, Australia|St John of God Hospital Murdoch, Perth, Western Australia, Australia|AZ Sint-Jan, Brugge, Belgium|CHU de Charleroi - Hôpital Civil Marie Curie, Charleroi, Belgium|Universitair Ziekenhuis Antwerp, Edegem, Belgium|Universitair Ziekenhuis Gent, Gent, Belgium|St. Joseph's Healthcare Hamilton, Hamilton, Canada|Centre Hospitalier de l'Université de Sherbrooke, Sherbrooke, Canada|St. Michael's Hospital Unity Health Toronto, Toronto, Canada|General County Hospital Požega, Požega, Croatia|University Hospital Centre Zagreb, Zagreb, Croatia|University Hospital for Infectious Diseases, Zagreb, Croatia|Charité - Universitätsmedizin Berlin - Infektiologie und Pneumologie, Berlin, Germany|Charité - Universitätsmedizin Berlin - Nephrologie, Berlin, Germany|Vivantes Klinikum Neukölln, Berlin, Germany|Universitätsklinikum Köln, Cologne, Germany|Universitätsklinikum Frankfurt, Frankfurt, Germany|University Medical Center Hamburg-Eppendorf (UKE), Hamburg, Germany|Medizinische Hochschule Hannover, Hannover, Germany|Universitätsklinikum Jena, Jena, Germany|Universitätsklinikum Leipzig, Leipzig, Germany|Universitäts Klinikum Tübingen, Tübingen, Germany|Universitätsklinikum Würzburg, Würzburg, Germany|Jósa András County Hospital, Nyíregyháza, Hungary|Csolnoky Ferenc Kórház - Veszprem County Hospital, Veszprém, Hungary|Almási Balogh Pál Kórház, Ózd, Hungary|Beaumont Hospital, Dublin, Ireland|St. Vincent's University Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|Meander Medisch Centrum, Amersfoort, Netherlands|Jeroen Bosch Ziekenhuis, Den Bosch, Netherlands|Martini Hospital Groningen, Groningen, Netherlands|University Medical Center Groningen, Groningen, Netherlands|Leiden University Medical Center, Leiden, Netherlands|Canisius Wilhelmina Ziekenhuis, Nijmegen, Netherlands|Radboud University Medical Center, Nijmegen, Netherlands|University Medical Center Utrecht, Utrecht, Netherlands|North Shore Hospital, Auckland, New Zealand|CVICU, Auckland City Hospital, Auckland, New Zealand|DCCM, Auckland City Hospital, Auckland, New Zealand|Middlemore Hospital, Auckland, New Zealand|Christchurch Hospital, Christchurch, New Zealand|Waikato Hospital, Hamilton, New Zealand|Rotorua Hospital, Rotorua, New Zealand|Tauranga Hospital, Tauranga, New Zealand|Wellington Regional Hospital, Wellington, New Zealand|Whangarei Hospital, Whangarei, New Zealand|Centro Hospitalar do Medio Tejo, Abrantes, Portugal|Hospital Lusíadas Lisbon, Lisboa, Portugal|Clinical Hospital of Infectious and Tropical Diseases \"Dr. Victor Babes\", Bucharest, Romania|Institut Hospital del Mar d'Investigacions Mèdiques, Barcelona, Spain|Hospital Universitario Reina Sofia, Córdoba, Spain|Basingstoke and North Hampshire Hospital, Basingstoke, United Kingdom|Southmead Hospital, Bristol, United Kingdom|University Hospital Coventry, Coventry, United Kingdom|Darlington Memorial Hospital, Darlington, United Kingdom|University Hospital of North Durham, Durham, United Kingdom|Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Maidstone Hospital - Maidstone and Tunbridge Wells NHS Trust, Maidstone, United Kingdom|The James Cook University Hospital, Middlesbrough, United Kingdom|Milton Keynes University Hospital, Milton Keynes, United Kingdom|Northampton General Hospital, Northampton, United Kingdom|Queen's Medical Centre - Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|Poole Hospital NHS Foundation Trust, Poole, United Kingdom|Queen Alexandra Hospital - Portsmouth Hospitals NHS Trust, Portsmouth, United Kingdom|Royal Berkshire Hospital, Reading, United Kingdom|University Hospital of North Tees, Stockton-on-Tees, United Kingdom|Royal Cornwall Hospital, Truro, United Kingdom|Tunbridge Wells Hospital - Maidstone and Tunbridge Wells NHS Trust, Tunbridge Wells, United Kingdom|York Hospital, York, United Kingdom"	"https://ClinicalTrials.gov/show/NCT02735707"
"1000"	1000	"NCT04394182"	"Ultra Low Doses of Therapy With Radiation Applicated to COVID-19"	"Recruiting"	"No Results Available"	"Pneumonia, Viral|Cytokine Storm"	"radiation: ultra-low-dose radiotherapy|device: ventilatory support with oxygen therapy|drug: lopinavir/ritonavir|drug: hydroxychloroquine|drug: azithromycin|drug: piperacillin/tazobactam|drug: low molecular weight heparin|drug: corticosteroid injection|drug: tocilizumab"	"Not Applicable"	"Interventional"	"Hospital La Milagrosa, GenesisCare, Madrid, Spain|Hospital Vithas Valencia Consuelo, Valencia, Spain"	"https://ClinicalTrials.gov/show/NCT04394182"
"1058"	1058	"NCT04403685"	"Safety and Efficacy of Tocilizumab in Moderate to Severe COVID-19 With Inflammatory Markers"	"Recruiting"	"No Results Available"	"COVID|SARS Pneumonia|Cytokine Release Syndrome"	"drug: tocilizumab"	"Phase 3"	"Interventional"	"UNIFESP, São Paulo, Sao Paulo, Brazil|HCOR -Hospital do Coracao, Sao Paulo, SP, Brazil|HAOC - Hospital Alemao Oswaldo Cruz, Sao Paulo, Brazil|Beneficência Portuguesa de Sao Paulo, Sao Paulo, Brazil|HAOC - Hospital Alemao Oswaldo Cruz - unidade Vergueiro, Sao Paulo, Brazil|HIAE - Hospital Israelita Albert Einstein, Sao Paulo, Brazil|HSL - Hospital Sírio Libanês, Sao Paulo, Brazil"	"https://ClinicalTrials.gov/show/NCT04403685"
"1105"	1105	"NCT04315480"	"Tocilizumab for SARS-CoV2 (COVID-19) Severe Pneumonitis"	"Active, not recruiting"	"No Results Available"	"SARS Pneumonia"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"Università Politecnica delle Marche, Ancona, AN, Italy"	"https://ClinicalTrials.gov/show/NCT04315480"
"1229"	1229	"NCT04361552"	"Tocilizumab for the Treatment of Cytokine Release Syndrome in Patients With COVID-19 (SARS-CoV-2 Infection)"	"Withdrawn"	"No Results Available"	"Cerebrovascular Accident|Chronic Obstructive Pulmonary Disease|Chronic Renal Failure|Coronary Artery Disease|Diabetes Mellitus|Malignant Neoplasm|SARS Coronavirus 2 Infection"	"other: best practice|biological: tocilizumab"	"Phase 3"	"Interventional"	"Emory University Hospital/Winship Cancer Institute, Atlanta, Georgia, United States"	"https://ClinicalTrials.gov/show/NCT04361552"
"1259"	1259	"NCT04347031"	"A Study of the Effectiveness of an Off Label Mefloquine Use for the Treatment of Patients With COVID19"	"Active, not recruiting"	"No Results Available"	"Pneumonia, Viral|Respiratory Failure"	"drug: mefloquine|drug: hydroxychloroquine|combination product: mefloquine + azithromycin + / - tocilizumab|combination product: hydroxychloroquine + azithromycin + / - tocilizumab"	"Phase 2|Phase 3"	"Interventional"	"Burnasyan Federal Medical Biophysical Center FMBA of Russia, Moscow, Russian Federation"	"https://ClinicalTrials.gov/show/NCT04347031"
"1272"	1272	"NCT04423042"	"Tocilizumab in Coronavirus-19 Positive Patients"	"Not yet recruiting"	"No Results Available"	"Covid19|COVID-19|Severe Acute Respiratory Syndrome Coronavirus 2|Coronavirus|Inflammation"	"biological: tocilizumab"	"Phase 3"	"Interventional"	""	"https://ClinicalTrials.gov/show/NCT04423042"
"1320"	1320	"NCT04331808"	"CORIMUNO-19 - Tocilizumab Trial - TOCI (CORIMUNO-TOCI)"	"Active, not recruiting"	"No Results Available"	"Corona Virus Infection"	"drug: tocilizumab"	"Phase 2"	"Interventional"	"APHP- Hopital Tenon, Paris, France|APHP - Beaujon, Paris, France|APHP - Bichat, Paris, France|APHP - Hopital Necker, Paris, France|APHP - Pitié Salpêtrière, Paris, France|APHP - Saint Louis, Paris, France|CHU Strasbourg, Strasbourg, France|Institut Gustave Roussy, Villejuif, France"	"https://ClinicalTrials.gov/show/NCT04331808"
